target_text,search_text,body_type
11305,11305 Ahlqvist,11305 Ahlqvist,asteroid
16113,16113 Ahmed,16113 Ahmed,asteroid
15155,15155 Ahn,15155 Ahn,asteroid
3181,3181 Ahnert,3181 Ahnert,asteroid
2395,2395 Aho,2395 Aho,asteroid
950,950 Ahrensa,950 Ahrensa,asteroid
2826,2826 Ahti,2826 Ahti,asteroid
5908,5908 Aichi,5908 Aichi,asteroid
861,861 Aida,861 Aida,asteroid
92097,92097 Aidai,92097 Aidai,asteroid
978,978 Aidamina,978 Aidamina,asteroid
31192,31192 Aigoual,31192 Aigoual,asteroid
1918,1918 Aiguillon,1918 Aiguillon,asteroid
39860,39860 Aiguoxiang,39860 Aiguoxiang,asteroid
19913,19913 Aigyptios,19913 Aigyptios,asteroid
26199,26199 Aileenperry,26199 Aileenperry,asteroid
28950,28950 Ailisdooner,28950 Ailisdooner,asteroid
280652,280652 Aimaku,280652 Aimaku,asteroid
24032,24032 Aimeemcarthy,24032 Aimeemcarthy,asteroid
10853,10853 Aimoto,10853 Aimoto,asteroid
4585,4585 Ainonai,4585 Ainonai,asteroid
16713,16713 Airashi,16713 Airashi,asteroid
11104,11104 Airion,11104 Airion,asteroid
17314,17314 Aisakos,17314 Aisakos,asteroid
3584,3584 Aisha,3584 Aisha,asteroid
28484,28484 Aishwarya,28484 Aishwarya,asteroid
1568,1568 Aisleen,1568 Aisleen,asteroid
28317,28317 Aislinndeely,28317 Aislinndeely,asteroid
231666,231666 Aisymnos,231666 Aisymnos,asteroid
3070,3070 Aitken,3070 Aitken,asteroid
3787,3787 Aivazovskij,3787 Aivazovskij,asteroid
83598,83598 Aiweiwei,83598 Aiweiwei,asteroid
31469,31469 Aizawa,31469 Aizawa,asteroid
5458,5458 Aizman,5458 Aizman,asteroid
14701,14701 Aizu,14701 Aizu,asteroid
14820,14820 Aizuyaichi,14820 Aizuyaichi,asteroid
1404,1404 Ajax,1404 Ajax,asteroid
30055,30055 Ajaysaini,30055 Ajaysaini,asteroid
19564,19564 Ajburnetti,19564 Ajburnetti,asteroid
8046,8046 Ajiki,8046 Ajiki,asteroid
26544,26544 Ajjarapu,26544 Ajjarapu,asteroid
249302,249302 Ajoie,249302 Ajoie,asteroid
22619,22619 Ajscheetz,22619 Ajscheetz,asteroid
175562,175562 Ajsingh,175562 Ajsingh,asteroid
16999,16999 Ajstewart,16999 Ajstewart,asteroid
6422,6422 Akagi,6422 Akagi,asteroid
21033,21033 Akahirakiyozo,21033 Akahirakiyozo,asteroid
53157,53157 Akaishidake,53157 Akaishidake,asteroid
4584,4584 Akan,4584 Akan,asteroid
28832,28832 Akana,28832 Akana,asteroid
5741,5741 Akanemaruta,5741 Akanemaruta,asteroid
19197,19197 Akasaki,19197 Akasaki,asteroid
7418,7418 Akasegawa,7418 Akasegawa,asteroid
5881,5881 Akashi,5881 Akashi,asteroid
4949,4949 Akasofu,4949 Akasofu,asteroid
24965,24965 Akayu,24965 Akayu,asteroid
30195,30195 Akdemir,30195 Akdemir,asteroid
11533,11533 Akeback,11533 Akeback,asteroid
8686,8686 Akenside,8686 Akenside,asteroid
11306,11306 Akesson,11306 Akesson,asteroid
326290,326290 Akhenaten,326290 Akhenaten,asteroid
25966,25966 Akhilmathew,25966 Akhilmathew,asteroid
3067,3067 Akhmatova,3067 Akhmatova,asteroid
5101,5101 Akhmerov,5101 Akhmerov,asteroid
35093,35093 Akicity,35093 Akicity,asteroid
13691,13691 Akie,13691 Akie,asteroid
23727,23727 Akihasan,23727 Akihasan,asteroid
16518,16518 Akihikoito,16518 Akihikoito,asteroid
7830,7830 Akihikotago,7830 Akihikotago,asteroid
5355,5355 Akihiro,5355 Akihiro,asteroid
8047,8047 Akikinoshita,8047 Akikinoshita,asteroid
9985,9985 Akiko,9985 Akiko,asteroid
23895,23895 Akikonakamura,23895 Akikonakamura,asteroid
8321,8321 Akim,8321 Akim,asteroid
10633,10633 Akimasa,10633 Akimasa,asteroid
11928,11928 Akimotohiro,11928 Akimotohiro,asteroid
4521,4521 Akimov,4521 Akimov,asteroid
6658,6658 Akiraabe,6658 Akiraabe,asteroid
3872,3872 Akirafujii,3872 Akirafujii,asteroid
5782,5782 Akirafujiwara,5782 Akirafujiwara,asteroid
55223,55223 Akiraifukube,55223 Akiraifukube,asteroid
8187,8187 Akiramisawa,8187 Akiramisawa,asteroid
8232,8232 Akiramizuno,8232 Akiramizuno,asteroid
9865,9865 Akiraohta,9865 Akiraohta,asteroid
87312,87312 Akirasuzuki,87312 Akirasuzuki,asteroid
37729,37729 Akiratakao,37729 Akiratakao,asteroid
8182,8182 Akita,8182 Akita,asteroid
10727,10727 Akitsushima,10727 Akitsushima,asteroid
2153,2153 Akiyama,2153 Akiyama,asteroid
6792,6792 Akiyamatakashi,6792 Akiyamatakashi,asteroid
15868,15868 Akiyoshidai,15868 Akiyoshidai,asteroid
8034,8034 Akka,8034 Akka,asteroid
5679,5679 Akkado,5679 Akkado,asteroid
